ticker
MSFT
NVDA
AAPL
AMZN
GOOG
GOOGL
META
AVGO
TSLA
NFLX
COST
PLTR
ASML
TMUS
CSCO
AZN
LIN
INTU
ISRG
PEP
BKNG
AMD
ADBE
TXN
QCOM
AMGN
HON
PDD
GILD
APP
ADP
ARM
MELI
CMCSA
PANW
AMAT
CRWD
VRTX
ADI
MU
LRCX
MSTR
KLAC
CEG
SBUX
CTAS
DASH
MDLZ
INTC
ABNB
CDNS
ORLY
FTNT
MAR
SNPS
PYPL
WDAY
ADSK
MNST
ROP
CHTR
CSX
AXON
PAYX
AEP
TEAM
MRVL
REGN
CPRT
PCAR
NXPI
FAST
ROST
KDP
EXC
VRSK
ZS
CCEP
TTWO
IDXX
DDOG
XEL
CTSH
FANG
LULU
TTD
BKR
EA
ODFL
DXCM
GEHC
KHC
MCHP
CSGP
ANSS
WBD
CDW
GFS
BIIB
ON
MDB
